rating,total_revenue
"0,0",296857.0
"1,0",388545.0
"1,5",269875.0
"2,0",332237.0
"2,2",367927.0
"2,4",387298.0
"2,5",345298.0
"2,6",334862.0
"2,7",410331.0
"2,8",387586.0
"2,9",295616.0
"3,0",306520.0
"3,1",403404.0
"3,2",328262.0
"3,3",345800.0
"3,4",299251.0
"3,5",433628.0
"3,6",374413.0
"3,7",343370.0
"3,8",451522.0
"3,9",402564.0
"4,0",374235.0
"4,1",502090.0
"4,2",460852.0
"4,3",407697.0
"4,4",515976.0
"4,5",407076.0
"4,6",354457.0
"4,7",554028.0
"4,8",422494.0
"4,9",429164.0
"5,0",395711.0
