product_name,total_revenue
Men's adidas Running Ultraboost 19 Shoes,119210.0
Women's adidas Originals NMD_R1 Shoes,110213.0
Men's adidas Originals Stan Smith Shoes,109870.0
Women's adidas Running Ultraboost 19 Shoes,108126.0
Men's adidas Originals ZX 4000 4D Shoes,105044.0
Unisex adidas Originals Marathon Tech Shoes,99800.0
Men's adidas Originals Supercourt Shoes,83268.0
Women's adidas Originals Sambarose Shoes,82412.0
Men's adidas Running Ultraboost 20 Shoes,75884.0
Men's adidas Originals Continental 80 Shoes,74057.0
